wl_home,10 Game Rolling Average Away Team Field Goals Made,10 Game Rolling Average Away Team Field Goals Attempted,10 Game Rolling Average Away Team Field Goal Percentage,10 Game Rolling Average Away Team 3-Point Field Goals Made,10 Game Rolling Average Away Team 3-Point Field Goals Attempted,10 Game Rolling Average Away Team 3-Point Percentage,10 Game Rolling Average Away Team Free Throws Made,10 Game Rolling Average Away Team Free Throws Attempted,10 Game Rolling Average Away Team Free Throw Percentage,10 Game Rolling Average Away Team Offensive Rebounds,10 Game Rolling Average Away Team Defensive Rebounds,10 Game Rolling Average Away Team Total Rebounds,10 Game Rolling Average Away Team Assists,10 Game Rolling Average Away Team Steals,10 Game Rolling Average Away Team Blocks,10 Game Rolling Average Away Team Turnovers,10 Game Rolling Average Away Team Personal Fouls,10 Game Rolling Average Away Team Points,10 Game Rolling Average Home Team field goals,10 Game Rolling Average Home Team Field Goals Attempted,10 Game Rolling Average Home Team Field Goal Percentage,10 Game Rolling Average Home Team 3-Point Field Goals Made,10 Game Rolling Average Home Team 3-Point Field Goals Attempted,10 Game Rolling Average Home Team 3-Point Percentage,10 Game Rolling Average Home Team Free Throws Made,10 Game Rolling Average Home Team Free Throws Attempted,10 Game Rolling Average Home Team Free Throw Percentage,10 Game Rolling Average Home Team Offensive Rebounds,10 Game Rolling Average Home Team Defensive Rebounds,10 Game Rolling Average Home Team Total Rebounds,10 Game Rolling Average Home Team Assists,10 Game Rolling Average Home Team Steals,10 Game Rolling Average Home Team Blocks,10 Game Rolling Average Home Team Turnovers,10 Game Rolling Average Home Team Personal Fouls,10 Game Rolling Average Home Team Points,h2h_win_ratio_last10,home_Atlanta Hawks,home_Boston Celtics,home_Brooklyn Nets,home_Charlotte Bobcats,home_Charlotte Hornets,home_Chicago Bulls,home_Cleveland Cavaliers,home_Dallas Mavericks,home_Denver Nuggets,home_Detroit Pistons,home_Golden State Warriors,home_Houston Rockets,home_Indiana Pacers,home_Los Angeles Clippers,home_Los Angeles Lakers,home_Memphis Grizzlies,home_Miami Heat,home_Milwaukee Bucks,home_Minnesota Timberwolves,home_New Orleans Pelicans,home_New York Knicks,home_Oklahoma City Thunder,home_Orlando Magic,home_Philadelphia 76ers,home_Phoenix Suns,home_Portland Trail Blazers,home_Sacramento Kings,home_San Antonio Spurs,home_Seattle SuperSonics,home_Toronto Raptors,home_Utah Jazz,home_Washington Wizards,away_Atlanta Hawks,away_Boston Celtics,away_Brooklyn Nets,away_Charlotte Bobcats,away_Charlotte Hornets,away_Chicago Bulls,away_Cleveland Cavaliers,away_Dallas Mavericks,away_Denver Nuggets,away_Detroit Pistons,away_Golden State Warriors,away_Houston Rockets,away_Indiana Pacers,away_Los Angeles Clippers,away_Los Angeles Lakers,away_Memphis Grizzlies,away_Miami Heat,away_Milwaukee Bucks,away_Minnesota Timberwolves,away_New Orleans Pelicans,away_New York Knicks,away_Oklahoma City Thunder,away_Orlando Magic,away_Philadelphia 76ers,away_Phoenix Suns,away_Portland Trail Blazers,away_Sacramento Kings,away_San Antonio Spurs,away_Seattle SuperSonics,away_Toronto Raptors,away_Utah Jazz,away_Washington Wizards
1.0,0.14646323373799172,0.49167797101914257,-0.20885717276410892,-0.6674498952355812,-0.6956646996474428,-1.1204677094206692,0.13581635967991315,0.3342059329314658,-0.5667594512405548,0.7644277635647986,1.281406502538638,1.6349042469476383,-0.35435668299026707,1.0737342201185225,2.128559869676436,1.2408041990806553,0.5514057663882986,0.043912144710437924,-0.7884186726355755,-0.6755942977076139,-0.5784690553561649,-0.026785556514369157,-0.24761658959251173,0.20900623463868673,-1.5601617739455667,-1.698438672711474,0.5839703739290782,-0.21796364805234886,0.06838215252043456,-0.17020209457748617,-0.013991412212775065,-0.6131274241604164,1.6786507147112708,0.271602495975822,0.20840280577281195,-1.2297516035598235,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,-0.7704690090411052,-0.1680673185227411,-1.0228952198323857,-0.3477864398599468,-0.7167649061472123,1.0013255344577128,0.026965149861552695,0.3342059329314658,-0.6093880136112023,-0.0013060431980973905,-0.5523507570217181,-0.5698588306524681,-0.8337463130215308,0.10434792588814557,-0.9956739245345275,1.1911722949194525,2.162069683674151,-0.7123832441124511,-0.12190064684007414,0.0986030712504821,-0.19766889999858003,-0.07871919308365279,-0.28941293339077734,0.007255817900369369,-1.1443967585609143,-1.1265109874409134,0.0947068980555284,0.1957122730286318,-0.07178715895027665,-0.000588787764514036,-0.0717994095431941,2.1852354519921575,-0.7161372452458207,-0.2046605211713508,0.9810397391241227,-0.46978873520413217,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.5915554006939634,0.01336263610127597,-1.0699285292185559,-0.054761605765615035,-0.27366056965205116,0.12357494828686207,-0.8982701335945059,-1.1042400178283196,0.6361073739136991,0.4040824427352004,1.3493234380779116,1.4485862403898824,0.638664693503063,-0.5667656624251922,1.944781411193438,-0.2977848299166649,0.0583453835456906,-0.7839246998119139,-1.8419471650220125,-1.0099067979395207,-2.334193665456174,-0.4682214673532815,-0.5715382540290701,-0.5021639843638814,-0.7026464297147216,-0.1460635269770955,-1.6314329350497638,1.354004852055378,-0.4922950933624078,0.4517133637367497,-0.9678233681646916,0.0011473535316123297,0.12908203473903523,1.806227773450044,0.48936169062783436,-2.0497115404699104,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.3701052441719177,-0.2340418474769304,1.129783171303738,-0.3477864398599468,-0.6323640801481341,0.22991780776525395,-0.8438445286853262,-0.913857465521877,0.48783411349406786,0.17886661721670172,-0.5523507570217181,-0.44564682628062935,0.0907908306101905,0.5517569847637037,0.566442972570954,0.14890230753417025,1.1102075336099209,0.0030313128821731006,-1.0464256503628668,-0.2533048237304713,-1.5523738774653828,-0.9356241964768358,-1.0835434655578233,-1.5630349257128657,-0.9884848777916702,-0.43202736961237537,-1.7914723897747578,0.6921233783258091,-0.10682948681795353,0.3103689413926049,-0.6209753841821763,1.024938649684993,-0.5048324252496068,1.4358009823355768,1.1566390421585115,-1.599733526311936,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.792833210084498,-0.333003640908212,-1.0663105823426953,-0.0014843632030094797,-0.009907988404931189,-0.6360169051302194,-0.43565249186647664,0.05920891293327142,-1.1820934819820237,-0.6319103546498931,0.39848634052809556,-0.13511681535103698,-1.2788938266219896,-0.1939247800288936,0.19888605560495878,-0.09925721327184917,-0.4018443071074109,-0.7737044918548469,-0.5949134393401078,-1.097883771684759,0.33477733492618056,-0.6240223770611331,-0.6655800275751675,-0.7039144011021987,-0.36483735471469153,-0.3911753920930498,0.0672715629598131,-0.01112568751185853,-1.4033956179220262,-1.2161508199241584,1.0265525397347715,0.5471693781467493,0.6925615547289389,-0.15174240815499848,0.48936169062783436,-0.819771635104779,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.5915554006939634,-0.8607998725417194,0.004601692911578558,-0.08140022704691804,-0.3580613956511294,0.5843940060265581,2.0679253339558006,1.5188084806159943,1.4404898116901994,-1.1273851707905909,-0.7900600314091727,-1.5635548656271623,-0.3201145665594633,-0.04478842707037402,-1.2713416122590246,-0.049625309110645464,0.15695746011421244,0.3198577595512204,-0.20790297274917074,0.696846492718104,-0.8986107788868771,-0.5720887404918491,-0.6864781994743004,-0.5761391371679304,0.07691297413150111,0.22160427069683633,-0.4700037493312398,1.5608428125958682,-0.6675067327007959,0.4517133637367497,-0.9389193694994826,1.2979496619925615,-0.5752673652483445,0.7478655131229938,-0.0023163578684551735,-0.2697985066894768,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16882743478138465,1.0029805704141015,-0.6719543728740621,-0.13467746960952384,-0.05210840140447058,-0.8824622620166502,0.271880371952863,0.31305231600852823,0.17090001934710647,0.719384598461099,0.8059879537637313,1.1691092305532496,0.22775929633340924,1.4465751025148212,-0.5362277783270333,1.1415403907582478,0.15695746011421244,0.3198577595512204,-0.6164140208173823,-0.14773245523618378,-0.8211027826636532,-0.13065282965293665,-0.676029113524734,1.767528203942186,0.4147220491315311,0.568846079611105,-0.2368034010176749,0.733490970433907,-0.3871681097593747,0.1124867501108034,0.8531285477435134,1.502707921223237,-0.15265772525591692,1.5945553213846346,1.929275975509822,-0.3497945980953401,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,-1.1059320246919941,-0.3989781698624013,-1.5257898355767918,0.1583473644848079,-0.10485891765389453,0.5270026215461571,-0.3540140845027065,-0.469631510140179,0.2283559077597154,0.13382345211300214,-0.8919354347180805,-0.7872298383031814,-1.1419253608987707,-0.1939247800288936,-0.628117007568532,6.59505055823906e-06,-0.20462015397036726,-0.9678884430391027,-0.35840704309009097,-0.4996403502171372,0.007895785636929572,0.7002853554556044,0.29573587978494076,1.103433082178559,-0.1569548470223653,-0.45245335837203854,1.2447046941508397,-1.2107858586467026,0.45384775906488883,-0.5376975926722638,0.04381658511764499,-0.2036109056990637,-0.011787845258440852,-1.0513503294329907,-0.24815538211659932,-0.009811209620425379,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.5020985965203933,-0.4154718021009475,-0.32101352591573457,0.5046494411417451,0.20109407659276463,1.0384611361803253,-0.2723756771389364,0.10151614677914805,-1.0152860640099408,0.49416877294260037,0.19473553391027887,0.4548902054151881,-0.3201145665594633,-0.49219748594593216,-0.5362277783270333,0.09927040337296653,-0.4018443071074109,-0.2524738860444784,-0.057398902408252066,-0.09494627098904128,0.08203386898088512,0.25884944461669196,0.12855050459187825,0.09972475890543056,-0.8065876835608842,-0.5137313246510273,-0.9364044459583644,0.36118264146102425,-0.24699879828866472,-0.028857672233341385,0.4484725664305792,-0.40836916492973974,-0.2935276052533924,0.6420292870902892,-0.9505525942541547,-0.14980436958068472,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,-0.8599258132146752,-0.9762552982115495,-0.36081094155018356,-0.6674498952355812,-0.7906156288964059,-0.8554545516729319,0.707285211226302,1.2438114606178006,-1.0041655694784677,-0.2715650338202956,0.8399464215333681,0.5169962076011052,-0.8337463130215308,-0.7904701918629713,1.7610029527104398,-0.3474167340778686,-0.3361029227283956,-0.6612822043271208,-1.1324279762719636,-0.34128179747570964,-1.646731438084962,-0.2604869210761462,-0.19537115984467976,-1.1410403040352197,-0.5467345489454767,-0.22776748201574668,-0.9135416667119342,0.15434468092053388,-0.4222104376270528,-0.311546516921631,-1.8927513254514001,0.0011473535316123297,0.6221266147302011,0.37743872200852663,-0.1076759396890875,-1.2497506264112892,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
