wl_home,10 Game Rolling Average Away Team Field Goals Made,10 Game Rolling Average Away Team Field Goals Attempted,10 Game Rolling Average Away Team Field Goal Percentage,10 Game Rolling Average Away Team 3-Point Field Goals Made,10 Game Rolling Average Away Team 3-Point Field Goals Attempted,10 Game Rolling Average Away Team 3-Point Percentage,10 Game Rolling Average Away Team Free Throws Made,10 Game Rolling Average Away Team Free Throws Attempted,10 Game Rolling Average Away Team Free Throw Percentage,10 Game Rolling Average Away Team Offensive Rebounds,10 Game Rolling Average Away Team Defensive Rebounds,10 Game Rolling Average Away Team Total Rebounds,10 Game Rolling Average Away Team Assists,10 Game Rolling Average Away Team Steals,10 Game Rolling Average Away Team Blocks,10 Game Rolling Average Away Team Turnovers,10 Game Rolling Average Away Team Personal Fouls,10 Game Rolling Average Away Team Points,10 Game Rolling Average Home Team field goals,10 Game Rolling Average Home Team Field Goals Attempted,10 Game Rolling Average Home Team Field Goal Percentage,10 Game Rolling Average Home Team 3-Point Field Goals Made,10 Game Rolling Average Home Team 3-Point Field Goals Attempted,10 Game Rolling Average Home Team 3-Point Percentage,10 Game Rolling Average Home Team Free Throws Made,10 Game Rolling Average Home Team Free Throws Attempted,10 Game Rolling Average Home Team Free Throw Percentage,10 Game Rolling Average Home Team Offensive Rebounds,10 Game Rolling Average Home Team Defensive Rebounds,10 Game Rolling Average Home Team Total Rebounds,10 Game Rolling Average Home Team Assists,10 Game Rolling Average Home Team Steals,10 Game Rolling Average Home Team Blocks,10 Game Rolling Average Home Team Turnovers,10 Game Rolling Average Home Team Personal Fouls,10 Game Rolling Average Home Team Points,h2h_win_ratio_last10,home_Atlanta Hawks,home_Boston Celtics,home_Brooklyn Nets,home_Charlotte Bobcats,home_Charlotte Hornets,home_Chicago Bulls,home_Cleveland Cavaliers,home_Dallas Mavericks,home_Denver Nuggets,home_Detroit Pistons,home_Golden State Warriors,home_Houston Rockets,home_Indiana Pacers,home_Los Angeles Clippers,home_Los Angeles Lakers,home_Memphis Grizzlies,home_Miami Heat,home_Milwaukee Bucks,home_Minnesota Timberwolves,home_New Orleans Pelicans,home_New York Knicks,home_Oklahoma City Thunder,home_Orlando Magic,home_Philadelphia 76ers,home_Phoenix Suns,home_Portland Trail Blazers,home_Sacramento Kings,home_San Antonio Spurs,home_Seattle SuperSonics,home_Toronto Raptors,home_Utah Jazz,home_Washington Wizards,away_Atlanta Hawks,away_Boston Celtics,away_Brooklyn Nets,away_Charlotte Bobcats,away_Charlotte Hornets,away_Chicago Bulls,away_Cleveland Cavaliers,away_Dallas Mavericks,away_Denver Nuggets,away_Detroit Pistons,away_Golden State Warriors,away_Houston Rockets,away_Indiana Pacers,away_Los Angeles Clippers,away_Los Angeles Lakers,away_Memphis Grizzlies,away_Miami Heat,away_Milwaukee Bucks,away_Minnesota Timberwolves,away_New Orleans Pelicans,away_New York Knicks,away_Oklahoma City Thunder,away_Orlando Magic,away_Philadelphia 76ers,away_Phoenix Suns,away_Portland Trail Blazers,away_Sacramento Kings,away_San Antonio Spurs,away_Seattle SuperSonics,away_Toronto Raptors,away_Utah Jazz,away_Washington Wizards
0.0,43.9,87.0,0.5055000000000001,12.9,31.3,0.40590000000000004,18.0,25.4,0.7087,9.4,34.2,43.6,29.6,7.3,5.1,14.1,21.9,118.7,44.6,95.1,0.47000000000000003,13.9,36.3,0.38249999999999995,15.9,20.7,0.7663,12.5,34.2,46.7,29.2,7.9,4.4,15.7,18.4,119.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,46.5,89.9,0.5182,15.8,39.8,0.393,19.3,24.8,0.7853,8.9,37.9,46.8,29.6,5.8,5.7,14.1,17.9,128.1,44.5,92.1,0.4845,10.6,32.4,0.32849999999999996,17.3,22.3,0.7878999999999999,14.6,32.3,46.9,25.1,10.5,6.2,12.3,19.4,116.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,44.6,90.7,0.49219999999999986,10.3,29.6,0.3496,19.5,23.1,0.8462,12.1,30.4,42.5,25.5,7.1,4.0,13.3,18.8,119.0,43.5,90.1,0.4857,16.4,43.3,0.3801,15.6,20.4,0.7575000000000001,9.8,38.8,48.6,27.7,7.2,5.9,14.8,17.8,119.0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,42.4,85.2,0.497,12.5,31.3,0.40409999999999996,20.8,24.8,0.8435,9.9,33.9,43.8,24.4,7.9,4.6,14.2,19.1,118.1,39.2,86.2,0.4556000000000001,12.2,36.1,0.34140000000000004,17.8,22.4,0.8004999999999999,8.9,33.5,42.4,25.5,7.5,5.3,11.4,18.1,108.4,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,38.0,85.4,0.446,10.4,31.5,0.3215,18.4,24.0,0.7725,10.6,30.7,41.3,21.7,7.0,4.3,15.6,22.4,104.8,42.8,86.1,0.49959999999999993,10.0,29.5,0.33940000000000003,17.2,20.5,0.8493999999999999,7.6,29.9,37.5,24.2,8.4,4.2,12.0,18.6,112.8,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,41.8,89.3,0.46770000000000006,9.8,30.2,0.3271,18.0,24.6,0.7380000000000001,9.5,34.9,44.4,25.4,8.2,4.9,12.3,18.7,111.4,43.4,87.0,0.5003,11.2,30.9,0.35029999999999994,16.1,20.9,0.7731000000000001,10.6,30.4,41.0,25.9,7.2,6.0,12.3,18.8,114.1,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,40.2,93.8,0.42730000000000007,11.2,36.0,0.3111,14.4,20.5,0.6963999999999999,10.0,31.9,41.9,25.5,6.8,4.0,13.4,20.1,106.0,41.6,87.7,0.4756,16.7,43.8,0.3788,16.7,22.0,0.7534000000000001,7.0,32.0,39.0,23.6,5.7,3.4,11.8,20.2,116.6,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,43.1,88.7,0.48740000000000006,16.8,41.5,0.4083,18.9,24.9,0.7555,10.0,37.9,47.9,29.7,6.8,4.0,12.5,19.1,121.9,42.8,88.5,0.48349999999999993,11.1,33.4,0.32789999999999997,17.7,23.9,0.736,11.3,34.4,45.7,28.7,6.8,4.4,12.6,17.7,114.4,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,41.1,90.3,0.457,9.5,33.0,0.2943,17.1,21.8,0.7881,11.1,35.4,46.5,22.7,7.4,5.1,15.2,19.8,108.8,41.3,79.9,0.5165,13.1,30.5,0.43439999999999995,24.2,28.2,0.8586,8.9,28.3,37.2,25.5,7.2,3.1,14.4,17.4,119.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,42.4,86.7,0.4902,12.1,29.6,0.41150000000000003,16.5,19.6,0.8464,9.5,31.3,40.8,26.6,7.8,3.5,12.5,19.5,113.4,41.6,89.6,0.46449999999999997,11.2,32.6,0.34609999999999996,18.3,23.9,0.7638999999999999,9.6,33.2,42.8,25.6,7.0,5.3,14.8,20.5,112.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
